date,sku_id,pin_code,units_sold,unit_cost,unit_margin,temperature,is_weekend,is_event
2024-03-06,500ml_Cola,395001,140,10.5,4.2,22.464380508408166,0,0
2024-03-07,500ml_Cola,395001,141,10.5,4.2,18.94324243936026,0,0
2024-03-08,500ml_Cola,395001,201,10.5,4.2,22.895927250415376,0,1
2024-03-09,500ml_Cola,395001,262,10.5,4.2,23.23819332144961,1,1
2024-03-10,500ml_Cola,395001,201,10.5,4.2,28.213552783155798,1,0
2024-03-11,500ml_Cola,395001,163,10.5,4.2,23.072189863794943,0,0
2024-03-12,500ml_Cola,395001,143,10.5,4.2,24.230306963534577,0,0
2024-03-13,500ml_Cola,395001,158,10.5,4.2,26.083565180036516,0,0
2024-03-14,500ml_Cola,395001,152,10.5,4.2,25.4728490908992,0,0
2024-03-15,500ml_Cola,395001,169,10.5,4.2,26.94594063449773,0,0
2024-03-16,500ml_Cola,395001,177,10.5,4.2,21.50827360639224,1,0
2024-03-17,500ml_Cola,395001,243,10.5,4.2,22.502730677506083,1,1
2024-03-18,500ml_Cola,395001,143,10.5,4.2,23.523188424567,0,0
2024-03-19,500ml_Cola,395001,129,10.5,4.2,21.72653957630939,0,0
2024-03-20,500ml_Cola,395001,146,10.5,4.2,25.137125949612056,0,0
2024-03-21,500ml_Cola,395001,141,10.5,4.2,23.33328509309074,0,0
2024-03-22,500ml_Cola,395001,156,10.5,4.2,28.444084926262537,0,0
2024-03-23,500ml_Cola,395001,189,10.5,4.2,23.949690087560064,1,0
2024-03-24,500ml_Cola,395001,203,10.5,4.2,25.043901235611848,1,0
2024-03-25,500ml_Cola,395001,160,10.5,4.2,27.486682422113805,0,0
2024-03-26,500ml_Cola,395001,143,10.5,4.2,23.569288341606438,0,0
2024-03-27,500ml_Cola,395001,191,10.5,4.2,22.987113979871072,0,1
2024-03-28,500ml_Cola,395001,156,10.5,4.2,26.74205543819726,0,0
2024-03-29,500ml_Cola,395001,143,10.5,4.2,27.062853795139656,0,0
2024-03-30,500ml_Cola,395001,207,10.5,4.2,28.276577185369394,1,0
2024-03-31,500ml_Cola,395001,202,10.5,4.2,27.926150229666238,1,0
2024-04-01,500ml_Cola,395001,150,10.5,4.2,27.645014345152564,0,0
2024-04-02,500ml_Cola,395001,138,10.5,4.2,25.859165686884673,0,0
2024-04-03,500ml_Cola,395001,164,10.5,4.2,27.851235054381505,0,0
2024-04-04,500ml_Cola,395001,207,10.5,4.2,28.13967789775923,0,1
2024-04-05,500ml_Cola,395001,161,10.5,4.2,26.29087873928832,0,0
2024-04-06,500ml_Cola,395001,186,10.5,4.2,31.616373351095604,1,0
2024-04-07,500ml_Cola,395001,190,10.5,4.2,28.996878088386467,1,0
2024-04-08,500ml_Cola,395001,151,10.5,4.2,26.263333276469,0,0
2024-04-09,500ml_Cola,395001,157,10.5,4.2,29.949398203426036,0,0
2024-04-10,500ml_Cola,395001,154,10.5,4.2,30.46351348025236,0,0
2024-04-11,500ml_Cola,395001,161,10.5,4.2,29.522807282779727,0,0
2024-04-12,500ml_Cola,395001,147,10.5,4.2,28.365857830430333,0,0
2024-04-13,500ml_Cola,395001,191,10.5,4.2,27.507407563344753,1,0
2024-04-14,500ml_Cola,395001,195,10.5,4.2,29.017732607294963,1,0
2024-04-15,500ml_Cola,395001,161,10.5,4.2,30.0100598751376,0,0
2024-04-16,500ml_Cola,395001,162,10.5,4.2,29.508297201159923,0,0
2024-04-17,500ml_Cola,395001,152,10.5,4.2,32.542570863343144,0,0
2024-04-18,500ml_Cola,395001,147,10.5,4.2,31.038673096687898,0,0
2024-04-19,500ml_Cola,395001,218,10.5,4.2,28.223440388767205,0,1
2024-04-20,500ml_Cola,395001,195,10.5,4.2,27.94492444239882,1,0
2024-04-21,500ml_Cola,395001,192,10.5,4.2,31.199100904141872,1,0
2024-04-22,500ml_Cola,395001,224,10.5,4.2,29.933126144731297,0,1
2024-04-23,500ml_Cola,395001,161,10.5,4.2,31.95235411986038,0,0
2024-04-24,500ml_Cola,395001,168,10.5,4.2,31.613492812058265,0,0
2024-04-25,500ml_Cola,395001,158,10.5,4.2,30.662344909224263,0,0
2024-04-26,500ml_Cola,395001,171,10.5,4.2,29.253679433470825,0,0
2024-04-27,500ml_Cola,395001,206,10.5,4.2,28.055074251779534,1,0
2024-04-28,500ml_Cola,395001,197,10.5,4.2,31.648654972669085,1,0
2024-04-29,500ml_Cola,395001,163,10.5,4.2,28.862845451477796,0,0
2024-04-30,500ml_Cola,395001,161,10.5,4.2,29.718580737947548,0,0
2024-05-01,500ml_Cola,395001,170,10.5,4.2,31.923796394313836,0,0
2024-05-02,500ml_Cola,395001,153,10.5,4.2,31.860853625221456,0,0
2024-05-03,500ml_Cola,395001,162,10.5,4.2,29.584587076575424,0,0
2024-05-04,500ml_Cola,395001,210,10.5,4.2,34.160685756867025,1,0
2024-05-05,500ml_Cola,395001,189,10.5,4.2,34.22417032688755,1,0
2024-05-06,500ml_Cola,395001,153,10.5,4.2,33.26651091737644,0,0
2024-05-07,500ml_Cola,395001,147,10.5,4.2,33.38174213146427,0,0
2024-05-08,500ml_Cola,395001,160,10.5,4.2,33.49981624957765,0,0
2024-05-09,500ml_Cola,395001,178,10.5,4.2,40.28852106609507,0,0
2024-05-10,500ml_Cola,395001,175,10.5,4.2,34.60215179582578,0,0
2024-05-11,500ml_Cola,395001,203,10.5,4.2,34.10574101331935,1,0
2024-05-12,500ml_Cola,395001,210,10.5,4.2,31.363806138492627,1,0
2024-05-13,500ml_Cola,395001,207,10.5,4.2,32.53997366826675,0,1
2024-05-14,500ml_Cola,395001,156,10.5,4.2,37.744707723420625,0,0
2024-05-15,500ml_Cola,395001,156,10.5,4.2,29.480235147840645,0,0
2024-05-16,500ml_Cola,395001,163,10.5,4.2,32.367842532079216,0,0
2024-05-17,500ml_Cola,395001,165,10.5,4.2,35.584085250279514,0,0
2024-05-18,500ml_Cola,395001,184,10.5,4.2,32.06756349675535,1,0
2024-05-19,500ml_Cola,395001,274,10.5,4.2,34.94683508062738,1,1
2024-05-20,500ml_Cola,395001,153,10.5,4.2,33.7657072271036,0,0
2024-05-21,500ml_Cola,395001,166,10.5,4.2,32.455716356230795,0,0
2024-05-22,500ml_Cola,395001,159,10.5,4.2,29.790389926118426,0,0
2024-05-23,500ml_Cola,395001,156,10.5,4.2,34.29272209413434,0,0
2024-05-24,500ml_Cola,395001,213,10.5,4.2,32.411267219657034,0,1
2024-05-25,500ml_Cola,395001,194,10.5,4.2,33.84066524509256,1,0
2024-05-26,500ml_Cola,395001,203,10.5,4.2,35.15125443981425,1,0
2024-05-27,500ml_Cola,395001,173,10.5,4.2,35.941223265506586,0,0
2024-05-28,500ml_Cola,395001,155,10.5,4.2,33.325526213470056,0,0
2024-05-29,500ml_Cola,395001,165,10.5,4.2,33.03171382308183,0,0
2024-05-30,500ml_Cola,395001,156,10.5,4.2,31.876792670748866,0,0
2024-05-31,500ml_Cola,395001,160,10.5,4.2,36.291687768380974,0,0
2024-06-01,500ml_Cola,395001,208,10.5,4.2,38.7548775569768,1,0
2024-06-02,500ml_Cola,395001,198,10.5,4.2,36.627278787021346,1,0
2024-06-03,500ml_Cola,395001,222,10.5,4.2,37.14512013709625,0,1
2024-06-04,500ml_Cola,395001,153,10.5,4.2,33.24206044531098,0,0
2024-06-05,500ml_Cola,395001,180,10.5,4.2,35.588278074807526,0,0
2024-06-06,500ml_Cola,395001,225,10.5,4.2,36.29027265858288,0,1
2024-06-07,500ml_Cola,395001,149,10.5,4.2,28.295948734918426,0,0
2024-06-08,500ml_Cola,395001,202,10.5,4.2,32.76428942004751,1,0
2024-06-09,500ml_Cola,395001,207,10.5,4.2,38.109560775384196,1,0
2024-06-10,500ml_Cola,395001,215,10.5,4.2,32.01321166801859,0,1
2024-06-11,500ml_Cola,395001,173,10.5,4.2,37.78187152900576,0,0
2024-06-12,500ml_Cola,395001,166,10.5,4.2,32.05049779182044,0,0
2024-06-13,500ml_Cola,395001,214,10.5,4.2,32.979161766843625,0,1
2024-06-14,500ml_Cola,395001,162,10.5,4.2,35.88339690999833,0,0
2024-06-15,500ml_Cola,395001,202,10.5,4.2,35.11285390106159,1,0
2024-06-16,500ml_Cola,395001,185,10.5,4.2,34.21372701783212,1,0
2024-06-17,500ml_Cola,395001,158,10.5,4.2,38.16453374468754,0,0
2024-06-18,500ml_Cola,395001,171,10.5,4.2,32.52205402214521,0,0
2024-06-19,500ml_Cola,395001,176,10.5,4.2,34.69633720729073,0,0
2024-06-20,500ml_Cola,395001,164,10.5,4.2,36.175800999516525,0,0
2024-06-21,500ml_Cola,395001,228,10.5,4.2,35.55744654234364,0,1
2024-06-22,500ml_Cola,395001,204,10.5,4.2,33.74339811620915,1,0
2024-06-23,500ml_Cola,395001,225,10.5,4.2,33.8004420947655,1,0
2024-06-24,500ml_Cola,395001,175,10.5,4.2,36.66579321158375,0,0
2024-06-25,500ml_Cola,395001,166,10.5,4.2,36.75025286187348,0,0
2024-06-26,500ml_Cola,395001,158,10.5,4.2,35.54716753442736,0,0
2024-06-27,500ml_Cola,395001,150,10.5,4.2,33.2531506180904,0,0
2024-06-28,500ml_Cola,395001,164,10.5,4.2,33.76641382192947,0,0
2024-01-01,500ml_Cola,395002,176,10.5,4.2,13.708815094374826,0,1
2024-01-02,500ml_Cola,395002,128,10.5,4.2,12.414488029080447,0,0
2024-01-03,500ml_Cola,395002,135,10.5,4.2,14.006215012999876,0,0
2024-01-04,500ml_Cola,395002,128,10.5,4.2,13.179504616222662,0,0
2024-01-05,500ml_Cola,395002,150,10.5,4.2,18.762985431422123,0,0
2024-01-06,500ml_Cola,395002,170,10.5,4.2,17.200931247979845,1,0
2024-01-07,500ml_Cola,395002,173,10.5,4.2,15.644171452343702,1,0
2024-01-08,500ml_Cola,395002,129,10.5,4.2,13.821467723072047,0,0
2024-01-09,500ml_Cola,395002,143,10.5,4.2,13.526947111928134,0,0
2024-01-10,500ml_Cola,395002,136,10.5,4.2,15.280950355603531,0,0
2024-01-11,500ml_Cola,395002,146,10.5,4.2,17.576938259271316,0,0
2024-01-12,500ml_Cola,395002,130,10.5,4.2,19.609120403773915,0,0
2024-01-13,500ml_Cola,395002,173,10.5,4.2,13.061584970508381,1,0
2024-01-14,500ml_Cola,395002,183,10.5,4.2,17.055800345354783,1,0
2024-01-15,500ml_Cola,395002,135,10.5,4.2,14.702406165233914,0,0
2024-01-16,500ml_Cola,395002,143,10.5,4.2,15.105935767875122,0,0
2024-01-17,500ml_Cola,395002,133,10.5,4.2,16.25636815645602,0,0
2024-01-18,500ml_Cola,395002,144,10.5,4.2,14.579182715735493,0,0
2024-01-19,500ml_Cola,395002,153,10.5,4.2,15.847540358971212,0,0
2024-01-20,500ml_Cola,395002,170,10.5,4.2,14.597233093158774,1,0
2024-01-21,500ml_Cola,395002,171,10.5,4.2,15.348286423588057,1,0
2024-01-22,500ml_Cola,395002,150,10.5,4.2,18.104598395306727,0,0
2024-01-23,500ml_Cola,395002,149,10.5,4.2,16.886958347200373,0,0
2024-01-24,500ml_Cola,395002,136,10.5,4.2,18.288008713719435,0,0
2024-01-25,500ml_Cola,395002,132,10.5,4.2,15.559361892034698,0,0
2024-01-26,500ml_Cola,395002,137,10.5,4.2,18.127586455439555,0,0
2024-01-27,500ml_Cola,395002,162,10.5,4.2,13.835458556665902,1,0
2024-01-28,500ml_Cola,395002,170,10.5,4.2,17.29321138261501,1,0
2024-01-29,500ml_Cola,395002,132,10.5,4.2,18.58303664871537,0,0
2024-01-30,500ml_Cola,395002,127,10.5,4.2,14.093901790676457,0,0
2024-01-31,500ml_Cola,395002,136,10.5,4.2,16.226606907430128,0,0
2024-02-01,500ml_Cola,395002,140,10.5,4.2,17.74062711299297,0,0
2024-02-02,500ml_Cola,395002,153,10.5,4.2,19.776145235469755,0,0
2024-02-03,500ml_Cola,395002,169,10.5,4.2,16.729650038135958,1,0
2024-02-04,500ml_Cola,395002,187,10.5,4.2,19.065025085314094,1,0
2024-02-05,500ml_Cola,395002,142,10.5,4.2,21.01260956907913,0,0
2024-02-06,500ml_Cola,395002,141,10.5,4.2,19.409708066031623,0,0
2024-02-07,500ml_Cola,395002,144,10.5,4.2,17.977563045491234,0,0
2024-02-08,500ml_Cola,395002,132,10.5,4.2,19.255996136392802,0,0
2024-02-09,500ml_Cola,395002,141,10.5,4.2,17.437706617666585,0,0
2024-02-10,500ml_Cola,395002,181,10.5,4.2,18.952712090537123,1,0
2024-02-11,500ml_Cola,395002,183,10.5,4.2,18.60387682806458,1,0
2024-02-12,500ml_Cola,395002,144,10.5,4.2,19.72793845454277,0,0
2024-02-13,500ml_Cola,395002,158,10.5,4.2,18.36824333321706,0,0
2024-02-14,500ml_Cola,395002,137,10.5,4.2,20.121886721845417,0,0
2024-02-15,500ml_Cola,395002,136,10.5,4.2,18.63367790668328,0,0
2024-02-16,500ml_Cola,395002,139,10.5,4.2,21.362197691480386,0,0
2024-02-17,500ml_Cola,395002,176,10.5,4.2,19.113796862008815,1,0
2024-02-18,500ml_Cola,395002,170,10.5,4.2,15.837041491123248,1,0
2024-02-19,500ml_Cola,395002,148,10.5,4.2,18.04607187656542,0,0
2024-02-20,500ml_Cola,395002,153,10.5,4.2,20.249498357221217,0,0
2024-02-21,500ml_Cola,395002,143,10.5,4.2,23.717371915522058,0,0
2024-02-22,500ml_Cola,395002,139,10.5,4.2,22.17651774496287,0,0
2024-02-23,500ml_Cola,395002,140,10.5,4.2,16.249973456479918,0,0
2024-02-24,500ml_Cola,395002,174,10.5,4.2,17.87089148231715,1,0
2024-02-25,500ml_Cola,395002,191,10.5,4.2,23.272628194354127,1,0
2024-02-26,500ml_Cola,395002,147,10.5,4.2,22.408929669776498,0,0
2024-02-27,500ml_Cola,395002,139,10.5,4.2,25.844140286702064,0,0
2024-02-28,500ml_Cola,395002,154,10.5,4.2,20.544516979155798,0,0
2024-02-29,500ml_Cola,395002,155,10.5,4.2,19.925082265129284,0,0
2024-03-01,500ml_Cola,395002,140,10.5,4.2,21.930435857515143,0,0
2024-03-02,500ml_Cola,395002,180,10.5,4.2,20.995472859906876,1,0
2024-03-03,500ml_Cola,395002,189,10.5,4.2,24.19025555970971,1,0
2024-03-04,500ml_Cola,395002,146,10.5,4.2,21.26038562694945,0,0
2024-03-05,500ml_Cola,395002,150,10.5,4.2,21.906717178251387,0,0
2024-03-06,500ml_Cola,395002,158,10.5,4.2,20.655744908375887,0,0
2024-03-07,500ml_Cola,395002,147,10.5,4.2,24.29476210324905,0,0
2024-03-08,500ml_Cola,395002,138,10.5,4.2,21.10462435295856,0,0
2024-03-09,500ml_Cola,395002,177,10.5,4.2,23.94460270801496,1,0
2024-03-10,500ml_Cola,395002,186,10.5,4.2,27.04066018330136,1,0
2024-03-11,500ml_Cola,395002,142,10.5,4.2,19.899471295548633,0,0
2024-03-12,500ml_Cola,395002,165,10.5,4.2,26.619300901845715,0,0
2024-03-13,500ml_Cola,395002,145,10.5,4.2,24.357856803646115,0,0
2024-03-14,500ml_Cola,395002,146,10.5,4.2,21.7180049309289,0,0
2024-03-15,500ml_Cola,395002,148,10.5,4.2,24.35914160183532,0,0
2024-03-16,500ml_Cola,395002,199,10.5,4.2,25.763508979774187,1,0
2024-03-17,500ml_Cola,395002,204,10.5,4.2,22.90285441687684,1,0
2024-03-18,500ml_Cola,395002,146,10.5,4.2,25.598720598044533,0,0
2024-03-19,500ml_Cola,395002,150,10.5,4.2,28.014239691720448,0,0
2024-03-20,500ml_Cola,395002,156,10.5,4.2,23.97756864713763,0,0
2024-03-21,500ml_Cola,395002,152,10.5,4.2,23.192923921041185,0,0
2024-03-22,500ml_Cola,395002,163,10.5,4.2,25.09264227602816,0,0
2024-03-23,500ml_Cola,395002,194,10.5,4.2,25.627646496809927,1,0
2024-03-24,500ml_Cola,395002,190,10.5,4.2,27.876407304965095,1,0
2024-03-25,500ml_Cola,395002,155,10.5,4.2,25.54363219021649,0,0
2024-03-26,500ml_Cola,395002,211,10.5,4.2,25.177254834579507,0,1
2024-03-27,500ml_Cola,395002,154,10.5,4.2,24.177871698473194,0,0
2024-03-28,500ml_Cola,395002,150,10.5,4.2,23.06307437740111,0,0
2024-03-29,500ml_Cola,395002,156,10.5,4.2,23.963166407160703,0,0
2024-03-30,500ml_Cola,395002,196,10.5,4.2,24.12277389768754,1,0
2024-03-31,500ml_Cola,395002,201,10.5,4.2,26.363084395705233,1,0
2024-04-01,500ml_Cola,395002,153,10.5,4.2,24.04475909244998,0,0
2024-04-02,500ml_Cola,395002,143,10.5,4.2,21.82544184415851,0,0
2024-04-03,500ml_Cola,395002,154,10.5,4.2,27.278137927023874,0,0
2024-04-04,500ml_Cola,395002,224,10.5,4.2,31.25144514105256,0,1
2024-04-05,500ml_Cola,395002,151,10.5,4.2,29.97271163443657,0,0
2024-04-06,500ml_Cola,395002,262,10.5,4.2,27.34704694769643,1,1
2024-04-07,500ml_Cola,395002,187,10.5,4.2,25.836160429079552,1,0
2024-04-08,500ml_Cola,395002,219,10.5,4.2,33.359416223423366,0,1
2024-04-09,500ml_Cola,395002,164,10.5,4.2,28.493665863970108,0,0
2024-04-10,500ml_Cola,395002,157,10.5,4.2,28.932930743299426,0,0
2024-04-11,500ml_Cola,395002,155,10.5,4.2,28.408524605058844,0,0
2024-04-12,500ml_Cola,395002,145,10.5,4.2,28.791127522004075,0,0
2024-04-13,500ml_Cola,395002,266,10.5,4.2,27.928030349792202,1,1
2024-04-14,500ml_Cola,395002,199,10.5,4.2,28.66198159128146,1,0
2024-04-15,500ml_Cola,395002,177,10.5,4.2,32.33574190266969,0,0
2024-04-16,500ml_Cola,395002,158,10.5,4.2,31.974463802399367,0,0
2024-04-17,500ml_Cola,395002,152,10.5,4.2,25.48872224421221,0,0
2024-04-18,500ml_Cola,395002,154,10.5,4.2,26.972315011722245,0,0
2024-04-19,500ml_Cola,395002,166,10.5,4.2,28.38212212641802,0,0
2024-04-20,500ml_Cola,395002,268,10.5,4.2,31.958066224815965,1,1
2024-04-21,500ml_Cola,395002,202,10.5,4.2,32.77726626364382,1,0
2024-04-22,500ml_Cola,395002,220,10.5,4.2,31.823395843469466,0,1
2024-04-23,500ml_Cola,395002,156,10.5,4.2,28.26624958924174,0,0
2024-04-24,500ml_Cola,395002,153,10.5,4.2,29.61797703035163,0,0
2024-04-25,500ml_Cola,395002,161,10.5,4.2,31.786751856993842,0,0
2024-04-26,500ml_Cola,395002,166,10.5,4.2,30.466616073291366,0,0
2024-04-27,500ml_Cola,395002,189,10.5,4.2,30.33512708605207,1,0
2024-04-28,500ml_Cola,395002,198,10.5,4.2,30.498535152770515,1,0
2024-04-29,500ml_Cola,395002,157,10.5,4.2,33.67298261563027,0,0
2024-04-30,500ml_Cola,395002,226,10.5,4.2,32.672498126286584,0,1
2024-05-01,500ml_Cola,395002,203,10.5,4.2,30.9972533037948,0,1
2024-05-02,500ml_Cola,395002,156,10.5,4.2,32.396702232813695,0,0
2024-05-03,500ml_Cola,395002,159,10.5,4.2,29.368300519466064,0,0
2024-05-04,500ml_Cola,395002,209,10.5,4.2,30.949137229478392,1,0
2024-05-05,500ml_Cola,395002,202,10.5,4.2,34.214584674491526,1,0
2024-05-06,500ml_Cola,395002,152,10.5,4.2,29.123182035911316,0,0
2024-05-07,500ml_Cola,395002,176,10.5,4.2,33.56619013233114,0,0
2024-05-08,500ml_Cola,395002,144,10.5,4.2,28.30586206119811,0,0
2024-05-09,500ml_Cola,395002,149,10.5,4.2,35.975970821365706,0,0
2024-05-10,500ml_Cola,395002,163,10.5,4.2,31.60431009522148,0,0
2024-05-11,500ml_Cola,395002,198,10.5,4.2,33.601230739411896,1,0
2024-05-12,500ml_Cola,395002,193,10.5,4.2,33.137911864891855,1,0
2024-05-13,500ml_Cola,395002,224,10.5,4.2,33.31421440467052,0,1
2024-05-14,500ml_Cola,395002,164,10.5,4.2,33.73099412785773,0,0
2024-05-15,500ml_Cola,395002,152,10.5,4.2,29.794428747710892,0,0
2024-05-16,500ml_Cola,395002,153,10.5,4.2,33.65343713991396,0,0
2024-05-17,500ml_Cola,395002,168,10.5,4.2,33.03821738363943,0,0
2024-05-18,500ml_Cola,395002,275,10.5,4.2,32.418651554656556,1,1
2024-05-19,500ml_Cola,395002,198,10.5,4.2,32.03103013195341,1,0
2024-05-20,500ml_Cola,395002,177,10.5,4.2,34.06625405749133,0,0
2024-05-21,500ml_Cola,395002,152,10.5,4.2,31.802171496212367,0,0
2024-05-22,500ml_Cola,395002,154,10.5,4.2,35.89898637408493,0,0
2024-05-23,500ml_Cola,395002,217,10.5,4.2,34.86500842942157,0,1
2024-05-24,500ml_Cola,395002,163,10.5,4.2,34.50836816515019,0,0
2024-05-25,500ml_Cola,395002,207,10.5,4.2,36.035520095917384,1,0
2024-05-26,500ml_Cola,395002,195,10.5,4.2,30.459531419190046,1,0
2024-05-27,500ml_Cola,395002,218,10.5,4.2,31.650558943694943,0,1
2024-05-28,500ml_Cola,395002,213,10.5,4.2,35.31073487673021,0,1
2024-05-29,500ml_Cola,395002,172,10.5,4.2,32.88688466192232,0,0
2024-05-30,500ml_Cola,395002,161,10.5,4.2,33.17552497343506,0,0
2024-05-31,500ml_Cola,395002,168,10.5,4.2,31.642641680574982,0,0
2024-06-01,500ml_Cola,395002,202,10.5,4.2,32.55881865699687,1,0
2024-06-02,500ml_Cola,395002,209,10.5,4.2,36.66963185913473,1,0
2024-06-03,500ml_Cola,395002,170,10.5,4.2,35.59793364048478,0,0
2024-06-04,500ml_Cola,395002,168,10.5,4.2,35.0270716239383,0,0
2024-06-05,500ml_Cola,395002,167,10.5,4.2,33.549363566039524,0,0
2024-06-06,500ml_Cola,395002,174,10.5,4.2,34.98502418101493,0,0
2024-06-07,500ml_Cola,395002,169,10.5,4.2,37.07703006762792,0,0
2024-06-08,500ml_Cola,395002,277,10.5,4.2,33.40671185246431,1,1
2024-06-09,500ml_Cola,395002,202,10.5,4.2,34.774761186527,1,0
2024-06-10,500ml_Cola,395002,180,10.5,4.2,38.41509569521088,0,0
2024-06-11,500ml_Cola,395002,161,10.5,4.2,36.31482882178449,0,0
2024-06-12,500ml_Cola,395002,176,10.5,4.2,33.79728854239078,0,0
2024-06-13,500ml_Cola,395002,166,10.5,4.2,36.185798993373915,0,0
2024-06-14,500ml_Cola,395002,205,10.5,4.2,31.81874052169088,0,1
2024-06-15,500ml_Cola,395002,204,10.5,4.2,34.82438287288146,1,0
